,PFE
1181,45.735
1182,45.73
1183,45.77
1184,45.76
1185,45.75
1186,45.75
1187,45.76
1188,45.735
1189,45.7229
1190,45.74
1191,45.74
1192,45.755
1193,45.7508
1194,45.75
1195,45.73
1196,45.72
1197,45.7212
1198,45.72
1199,45.71
1200,45.71
1201,45.72
1202,45.7
1203,45.68
1204,45.68
1205,45.665
1206,45.68
1207,45.68
1208,45.67
1209,45.68
1210,45.67
1211,45.66
1212,45.66
1213,45.68
1214,45.675
1215,45.66
1216,45.6748
1217,45.7
1218,45.69
1219,45.7
1220,45.72
1221,45.725
1222,45.73
1223,45.74
1224,45.715
1225,45.72
1226,45.73
1227,45.727
1228,45.76
1229,45.7434
1230,45.76
1231,45.75
1232,45.75
1233,45.75
1234,45.75
1235,45.76
1236,45.73
1237,45.73
1238,45.72
1239,45.7
1240,45.6941
1241,45.7
1242,45.6847
1243,45.69
1244,45.6846
1245,45.69
1246,45.67
1247,45.68
1248,45.68
1249,45.67
1250,45.69
1251,45.69
1252,45.68
1253,45.67
1254,45.68
1255,45.69
1256,45.69
1257,45.7
1258,45.68
1259,45.675
1260,45.68
1261,45.67
1262,45.67
1263,45.67
1264,45.665
1265,45.67
1266,45.67
1267,45.655
1268,45.66
1269,45.64
1270,45.65
1271,45.67
1272,45.65
1273,45.66
1274,45.66
1275,45.6623
1276,45.68
1277,45.7
1278,45.71
1279,45.695
1280,45.7
1281,45.7
1282,45.6934
1283,45.69
1284,45.685
1285,45.6566
1286,45.65
1287,45.64
1288,45.63
1289,45.62
1290,45.62
1291,45.63
1292,45.65
1293,45.64
1294,45.67
1295,45.67
1296,45.685
1297,45.68
1298,45.67
1299,45.66
1300,45.6549
1301,45.645
1302,45.66
1303,45.64
1304,45.63
1305,45.64
1306,45.63
1307,45.62
1308,45.6151
1309,45.625
1310,45.6
1311,45.6059
1312,45.65
1313,45.65
1314,45.65
1315,45.63
1316,45.64
1317,45.64
1318,45.63
1319,45.63
1320,45.63
1321,45.62
1322,45.62
1323,45.6036
1324,45.61
1325,45.61
1326,45.63
1327,45.625
1328,45.65
1329,45.64
1330,45.64
1331,45.62
1332,45.625
1333,45.61
1334,45.62
1335,45.62
1336,45.6149
1337,45.63
1338,45.625
1339,45.61
1340,45.6
1341,45.62
1342,45.62
1343,45.62
1344,45.635
1345,45.64
1346,45.64
1347,45.64
1348,45.625
1349,45.635
1350,45.6201
1351,45.61
1352,45.59
1353,45.59
1354,45.59
1355,45.58
1356,45.58
1357,45.58
1358,45.57
1359,45.58
1360,45.55
1361,45.54
1362,45.54
1363,45.51
1364,45.51
1365,45.5
1366,45.53
1367,45.52
1368,45.51
1369,45.52
1370,45.49
1371,45.49
1372,45.46
1373,45.43
1374,45.44
1375,45.48
1376,45.485
1377,45.49
1378,45.4923
1379,45.49
1380,45.48
1381,45.47
1382,45.4836
1383,45.51
1384,45.505
1385,45.52
1386,45.54
1387,45.5307
1388,45.52
1389,45.51
1390,45.52
1391,45.52
1392,45.51
1393,45.5
1394,45.505
1395,45.49
1396,45.51
1397,45.5
1398,45.51
1399,45.5
1400,45.51
1401,45.5051
1402,45.51
1403,45.51
1404,45.48
1405,45.5023
1406,45.51
1407,45.51
1408,45.51
1409,45.49
1410,45.48
1411,45.48
1412,45.49
1413,45.4817
1414,45.49
1415,45.4945
1416,45.48
1417,45.48
1418,45.49
1419,45.49
1420,45.49
1421,45.48
1422,45.475
1423,45.47
1424,45.46
1425,45.465
1426,45.47
1427,45.48
1428,45.46
1429,45.45
1430,45.43
1431,45.41
1432,45.44
1433,45.375
1434,45.36
1435,45.36
1436,45.37
1437,45.38
1438,45.3952
1439,45.3846
1440,45.36
1441,45.4527
1442,45.36
1443,45.3864
1444,45.38
1445,45.35
1446,45.32
1447,45.337
1448,45.32
1449,45.35
1450,45.34
1451,45.365
1452,45.4
1453,45.385
1454,45.4
1455,45.39
1456,45.3852
