,AAPL
780,171.045
781,170.961
782,170.85
783,170.86
784,170.87
785,170.9
786,170.84
787,170.91
788,170.88
789,171
790,170.95
791,170.9
792,170.92
793,170.78
794,170.83
795,170.83
796,170.78
797,170.7
798,170.7
799,170.754
800,170.69
801,170.61
802,170.59
803,170.61
804,170.52
805,170.55
806,170.411
807,170.46
808,170.37
809,170.33
810,170.31
811,170.23
812,170.15
813,170.11
814,170.17
815,170.19
816,170.17
817,170.222
818,170.221
819,170.19
820,170.19
821,170.12
822,170.12
823,170.13
824,170.12
825,170.229
826,170.164
827,170.27
828,170.23
829,170.23
830,170.21
831,170.32
832,170.315
833,170.37
834,170.41
835,170.36
836,170.345
837,170.32
838,170.364
839,170.46
840,170.572
841,170.572
842,170.65
843,170.64
844,170.545
845,170.538
846,170.516
847,170.41
848,170.35
849,170.36
850,170.31
851,170.38
852,170.38
853,170.42
854,170.48
855,170.53
856,170.6
857,170.58
858,170.58
859,170.608
860,170.55
861,170.56
862,170.606
863,170.622
864,170.64
865,170.65
866,170.768
867,170.78
868,170.816
869,170.892
870,170.87
871,170.88
872,170.812
873,170.89
874,170.92
875,171.02
876,171.02
877,171
878,170.96
879,170.97
880,170.96
881,170.98
882,170.94
883,170.86
884,170.83
885,170.79
886,170.82
887,170.87
888,170.89
889,170.884
890,170.88
891,170.932
892,170.93
893,170.76
894,170.82
895,170.76
896,170.726
897,170.68
898,170.73
899,170.71
900,170.705
901,170.69
902,170.75
903,170.81
904,170.73
905,170.8
906,170.74
907,170.74
908,170.79
909,170.79
910,170.82
911,170.71
912,170.73
913,170.77
914,170.716
915,170.644
916,170.675
917,170.76
918,170.8
919,170.8
920,170.9
921,170.86
922,170.89
923,170.9
924,170.91
925,170.943
926,171.007
927,171.01
928,170.977
929,171
930,171.04
931,171.16
932,171.17
933,171.194
934,171.14
935,171.11
936,171.01
937,171.03
938,170.96
939,170.89
940,170.88
941,170.91
942,170.9
943,170.74
944,170.82
945,170.76
946,170.76
947,170.74
948,170.69
949,170.671
950,170.7
951,170.67
952,170.57
953,170.58
954,170.67
955,170.7
956,170.71
957,170.71
958,170.7
959,170.77
960,170.78
961,170.74
962,170.67
963,170.63
964,170.46
965,170.52
966,170.62
