,KO
705,50.505
706,50.5
707,50.495
708,50.485
709,50.465
710,50.435
711,50.435
712,50.435
713,50.44
714,50.425
715,50.44
716,50.44
717,50.445
718,50.475
719,50.47
720,50.47
721,50.48
722,50.46
723,50.4536
724,50.455
725,50.44
726,50.4369
727,50.43
728,50.44
729,50.435
730,50.455
731,50.485
732,50.4772
733,50.495
734,50.49
735,50.505
736,50.505
737,50.505
738,50.5
739,50.505
740,50.505
741,50.505
742,50.5
743,50.51
744,50.4673
745,50.505
746,50.5
747,50.505
748,50.505
749,50.5
750,50.4952
751,50.495
752,50.49
753,50.51
754,50.505
755,50.5
756,50.51
757,50.505
758,50.505
759,50.5001
760,50.51
761,50.5
762,50.505
763,50.51
764,50.5
765,50.5
766,50.5088
767,50.505
768,50.5
769,50.5009
770,50.505
771,50.502
772,50.49
773,50.49
774,50.5
775,50.5
776,50.5
777,50.5
778,50.51
779,50.5
780,50.51
781,50.505
782,50.5
783,50.5
784,50.5016
785,50.505
786,50.505
787,50.495
788,50.49
789,50.475
790,50.465
791,50.463
792,50.465
793,50.45
794,50.45
795,50.45
796,50.44
797,50.45
798,50.445
799,50.44
800,50.43
801,50.42
802,50.415
803,50.4166
804,50.425
805,50.425
806,50.425
807,50.425
808,50.43
809,50.435
810,50.435
811,50.435
812,50.45
813,50.455
814,50.455
815,50.455
816,50.47
817,50.47
818,50.45
819,50.45
820,50.459
821,50.44
822,50.44
823,50.43
824,50.425
825,50.42
826,50.425
827,50.425
828,50.41
829,50.41
830,50.412
831,50.41
832,50.42
833,50.411
834,50.39
835,50.39
836,50.39
837,50.38
838,50.37
839,50.38
840,50.39
841,50.395
842,50.395
843,50.3915
844,50.395
845,50.38
846,50.38
847,50.385
848,50.38
849,50.38
850,50.3851
851,50.3851
852,50.3766
853,50.37
854,50.35
855,50.35
856,50.35
857,50.341
858,50.34
859,50.3364
860,50.34
861,50.34
862,50.348
863,50.345
864,50.345
865,50.34
866,50.315
867,50.315
868,50.32
869,50.3025
870,50.295
871,50.28
872,50.2847
873,50.28
874,50.2858
875,50.275
876,50.27
877,50.25
878,50.245
879,50.225
880,50.22
881,50.23
882,50.235
883,50.2497
884,50.245
885,50.23
886,50.21
887,50.21
888,50.21
889,50.2703
890,50.17
891,50.2
892,50.2
893,50.18
894,50.14
895,50.17
896,50.195
897,50.18
898,50.18
899,50.185
900,50.175
901,50.175
902,50.1751
903,50.18
904,50.19
905,50.19
906,50.17
907,50.165
908,50.145
909,50.145
910,50.165
911,50.16
912,50.185
913,50.185
914,50.185
915,50.18
916,50.175
917,50.18
918,50.21
919,50.205
920,50.17
921,50.16
922,50.15
923,50.15
924,50.15
925,50.135
926,50.1102
927,50.13
928,50.12
929,50.1265
930,50.12
931,50.125
932,50.125
933,50.1
934,50.085
935,50.08
936,50.065
937,50.065
938,50.08
939,50.07
940,50.07
941,50.0744
942,50.07
943,50.07
944,50.07
945,50.07
946,50.09
947,50.0842
948,50.09
949,50.0943
950,50.08
951,50.08
952,50.1
953,50.105
954,50.09
955,50.1
956,50.12
957,50.1
958,50.1
959,50.109
960,50.1
961,50.1
962,50.1049
963,50.12
964,50.11
965,50.11
966,50.12
967,50.12
968,50.1399
969,50.1398
970,50.1369
971,50.15
972,50.16
973,50.14
974,50.14
975,50.13
976,50.115
977,50.115
978,50.11
979,50.12
980,50.12
981,50.13
982,50.135
983,50.12
984,50.1289
985,50.1
986,50.1
987,50.105
988,50.1
989,50.105
990,50.08
991,50.06
992,50.07
993,50.09
994,50.1
995,50.12
996,50.1
997,50.09
998,50.0932
999,50.09
1000,50.105
1001,50.105
1002,50.1045
1003,50.1
1004,50.11
1005,50.135
1006,50.135
1007,50.165
1008,50.17
1009,50.185
1010,50.16
1011,50.15
1012,50.135
1013,50.135
1014,50.145
1015,50.16
1016,50.17
1017,50.15
1018,50.16
1019,50.17
1020,50.135
1021,50.125
1022,50.125
1023,50.12
1024,50.095
1025,50.1
1026,50.115
1027,50.05
1028,50.0915
1029,50.1
1030,50.1
1031,50.09
1032,50.06
1033,50.0415
1034,50.03
1035,50.03
1036,50.04
1037,49.995
1038,49.98
1039,50.005
1040,50
1041,49.99
1042,50.03
1043,50.03
1044,50.035
1045,50.03
1046,50.04
1047,50.03
1048,50.0201
1049,50.03
1050,50.025
1051,50.04
1052,50.045
1053,50.035
1054,50.045
1055,50.0325
1056,50.04
1057,50.03
1058,50.045
1059,50.04
1060,50.04
1061,50.03
1062,50.045
1063,50.04
1064,50.025
1065,50.035
1066,50.03
1067,50.025
1068,50.02
1069,50.02
1070,50.015
1071,50.015
1072,50
1073,49.99
1074,50.01
1075,50.025
1076,50.0262
1077,50.0052
1078,50.005
1079,50.01
1080,49.995
1081,49.98
1082,49.9853
1083,50.005
1084,50.015
1085,49.99
1086,50.02
1087,50.01
1088,49.99
1089,49.99
1090,50.005
1091,50
1092,50
1093,49.99
1094,50
1095,49.97
1096,49.97
1097,49.97
1098,49.955
1099,49.965
1100,49.97
1101,49.975
1102,49.98
1103,50
1104,49.985
1105,49.99
1106,49.98
1107,49.97
1108,49.9712
1109,49.97
1110,49.975
1111,49.98
1112,49.98
1113,49.985
1114,49.98
1115,49.965
1116,49.965
1117,49.95
1118,49.96
1119,49.97
1120,49.98
1121,49.98
1122,49.97
1123,49.96
1124,49.965
1125,49.965
1126,49.985
1127,49.965
1128,49.97
1129,49.99
1130,49.99
1131,49.99
1132,49.98
1133,49.97
1134,49.945
1135,49.965
1136,49.96
1137,49.96
1138,49.9742
1139,49.9484
1140,49.95
1141,49.925
1142,49.93
1143,49.945
1144,49.93
1145,49.925
1146,49.915
1147,49.93
1148,49.935
1149,49.9401
1150,49.935
1151,49.93
1152,49.925
1153,49.93
1154,49.935
1155,49.9326
1156,49.93
1157,49.92
1158,49.92
1159,49.928
1160,49.9
1161,49.915
1162,49.92
1163,49.915
1164,49.9
1165,49.915
1166,49.9296
1167,49.885
1168,49.895
1169,49.9
1170,49.915
1171,49.935
1172,49.935
1173,49.95
1174,49.95
1175,49.95
1176,49.975
1177,49.99
1178,49.99
1179,49.98
1180,49.9881
1181,50.01
1182,50
1183,49.9958
1184,50
1185,50
1186,49.99
1187,49.97
1188,49.96
1189,49.99
1190,49.995
1191,50
1192,50
1193,50
1194,49.99
1195,49.995
1196,50
1197,50.01
1198,50.03
1199,50.02
1200,50.025
1201,50.02
1202,50.02
1203,50
1204,49.995
1205,49.995
1206,49.995
1207,49.995
1208,49.995
1209,49.99
1210,49.995
1211,49.9967
1212,49.995
1213,49.995
1214,50
1215,50.02
1216,50.04
1217,50.05
1218,50.065
1219,50.05
1220,50.0461
1221,50.03
1222,50.025
1223,50.04
1224,50.043
1225,50.055
1226,50.06
1227,50.04
1228,50.05
1229,50.05
1230,50.045
1231,50.04
1232,50.03
1233,50.03
1234,50.02
1235,50.0251
1236,50.015
1237,50
1238,50
1239,49.985
1240,49.995
1241,50.0064
1242,50.01
1243,50.02
1244,50.01
1245,50.01
1246,50.005
1247,50
1248,50
1249,50
1250,50.01
1251,49.995
1252,50
1253,50
1254,50.02
1255,50.01
1256,50.01
1257,50.005
1258,50.0132
1259,50.01
1260,50.01
1261,50.01
1262,50.01
1263,50.0101
1264,50.01
1265,50
1266,49.98
1267,49.98
1268,49.975
1269,49.97
1270,49.96
1271,49.96
1272,49.965
1273,49.9801
1274,50
1275,50
1276,50
1277,50
1278,50
1279,49.9957
1280,50
1281,49.995
1282,49.985
1283,49.98
1284,49.97
1285,49.96
1286,49.95
1287,49.955
1288,49.96
1289,49.965
1290,49.97
1291,49.98
1292,49.975
1293,49.98
1294,49.98
1295,49.98
1296,49.965
1297,49.9546
1298,49.97
1299,49.97
1300,49.95
1301,49.955
1302,49.9549
1303,49.965
1304,49.975
1305,49.97
1306,49.97
1307,49.97
1308,49.96
1309,49.98
1310,49.9633
1311,50.01
1312,49.9936
1313,49.99
1314,49.99
1315,49.99
1316,49.98
1317,49.9885
1318,49.97
1319,49.965
1320,49.951
1321,49.95
1322,49.96
1323,49.97
1324,49.975
1325,49.985
1326,49.99
1327,49.98
1328,49.96
1329,49.96
1330,49.9661
1331,49.97
1332,49.965
1333,49.955
1334,49.95
1335,49.96
1336,49.9707
1337,49.93
1338,49.945
1339,49.95
1340,49.9519
1341,49.958
1342,49.96
1343,49.96
1344,49.95
1345,49.94
1346,49.945
1347,49.93
1348,49.9354
1349,49.94
1350,49.94
1351,49.94
1352,49.92
1353,49.917
1354,49.93
1355,49.94
1356,49.929
1357,49.91
1358,49.9
1359,49.8928
1360,49.88
1361,49.86
1362,49.855
1363,49.88
1364,49.9159
1365,49.87
1366,49.86
1367,49.87
1368,49.845
1369,49.84
1370,49.82
1371,49.8
1372,49.805
1373,49.82
1374,49.83
1375,49.835
1376,49.83
1377,49.81
1378,49.8
1379,49.82
1380,49.87
1381,49.85
1382,49.87
1383,49.87
1384,49.8899
1385,49.8815
1386,49.89
1387,49.89
1388,49.9
1389,49.8927
1390,49.8861
1391,49.9
1392,49.9
1393,50.14
1394,49.91
1395,49.92
1396,49.93
1397,49.93
1398,49.93
1399,49.93
1400,49.935
1401,49.9168
1402,49.92
1403,49.934
1404,49.92
1405,49.93
1406,49.9222
1407,49.93
1408,49.92
1409,49.92
1410,49.9226
1411,49.93
1412,49.92
1413,49.91
1414,49.895
1415,49.895
1416,49.897
1417,49.9
1418,49.8979
1419,49.89
1420,49.89
1421,49.865
1422,49.86
1423,49.865
1424,49.86
1425,49.87
1426,49.865
1427,49.84
1428,49.85
1429,49.8698
1430,49.86
1431,49.83
1432,49.825
1433,49.815
1434,49.82
1435,49.815
1436,49.81
1437,49.81
1438,49.81
1439,49.8068
1440,49.83
1441,49.835
1442,49.82
1443,49.8146
1444,49.82
1445,49.81
1446,49.79
1447,49.79
1448,49.82
1449,49.84
1450,49.84
1451,49.8315
1452,49.815
1453,49.84
1454,49.8568
1455,49.86
1456,49.84
1457,49.85
1458,49.83
1459,49.8467
1460,49.84
1461,49.82
1462,49.82
1463,49.835
1464,49.83
1465,49.81
1466,49.81
1467,49.79
1468,49.79
1469,49.82
1470,49.82
1471,49.811
1472,49.8
1473,49.79
1474,49.8132
1475,49.815
1476,49.82
1477,49.81
1478,49.81
1479,49.83
1480,49.84
1481,49.82
1482,49.83
1483,49.82
1484,49.83
1485,49.82
1486,49.85
1487,49.87
1488,49.86
1489,49.86
1490,49.8699
1491,49.8608
1492,49.87
1493,49.85
1494,49.85
1495,49.84
1496,49.85
1497,49.86
1498,49.841
1499,49.84
1500,49.83
1501,49.82
1502,49.84
1503,49.83
1504,49.84
1505,49.845
1506,49.84
1507,49.835
1508,49.84
1509,49.84
1510,49.87
1511,49.86
1512,49.89
1513,49.91
1514,49.92
1515,49.91
1516,49.891
1517,49.88
1518,49.86
