,Time,BA_spread,Price,Smart_price,Liquid_imb,MKT_cost
row,2019-04-19 22:42:46.842333,0.020000000000003126,58.9,58.90722222222222,-0.056,0.0
row,2019-04-19 22:42:46.850190,0.020000000000003126,58.9,58.90722222222222,-0.056,0.0
row,2019-04-19 22:42:46.858380,0.020000000000003126,58.877,58.90722222222222,-0.056,0.0
row,2019-04-19 22:42:46.867217,0.00999999999999801,58.9,58.89666666666667,-0.041,0.0
row,2019-04-19 22:42:46.875509,0.01999999999999602,58.9,58.895599999999995,-0.024,0.0
row,2019-04-19 22:42:56.904529,0.030000000000001137,58.91,58.908,-0.04,-0.0005866799999999728
row,2019-04-19 22:42:58.080147,0.030000000000001137,58.89,58.9075,-0.039,-0.0005866799999999728
row,2019-04-19 22:42:58.087194,0.030000000000001137,58.89,58.9075,-0.039,-0.0005866799999999728
row,2019-04-19 22:42:58.094401,0.01999999999999602,58.89,58.89666666666666,-0.028,-0.0006266799999999933
row,2019-04-19 22:42:58.102262,0.01999999999999602,58.89,58.89888888888889,-0.032,-0.0006266799999999933
row,2019-04-19 22:42:58.109839,0.020000000000003126,58.91,58.903999999999996,-0.031,-0.0006267999999999745
row,2019-04-19 22:42:58.117304,0.020000000000003126,58.92,58.918749999999996,-0.041,-0.0006269199999999558
row,2019-04-19 22:42:58.131862,0.020000000000003126,58.93,58.91833333333333,-0.039,-0.0006269199999999558
row,2019-04-19 22:42:58.139393,0.020000000000003126,58.91,58.91833333333333,-0.039,-0.0006269199999999558
row,2019-04-19 22:42:58.146784,0.010000000000005116,58.91,58.91566666666666,-0.032,-0.0006669199999999477
row,2019-04-19 22:43:08.190714,0.010000000000005116,58.91,58.91566666666666,-0.032,0.0
row,2019-04-19 22:43:08.197940,0.00999999999999801,58.9,58.89525,0.002,0.0
row,2019-04-19 22:43:08.206143,0.00999999999999801,58.89,58.894347826086964,0.01,0.0
row,2019-04-19 22:43:08.213772,0.00999999999999801,58.89,58.89471698113208,0.007,0.0
row,2019-04-19 22:43:08.222118,0.00999999999999801,58.89,58.89471698113208,0.007,0.0
row,2019-04-19 22:43:08.229537,0.01999999999999602,58.89,58.90162790697674,-0.018,0.0
row,2019-04-19 22:43:08.237967,0.01999999999999602,58.86,58.86249999999999,0.021,0.0
row,2019-04-19 22:43:08.245373,0.01999999999999602,58.86,58.860344827586204,0.026,0.0
row,2019-04-19 22:43:08.252963,0.01999999999999602,58.87,58.860625,0.025,0.0
row,2019-04-19 22:43:08.260436,0.01999999999999602,58.87,58.86,0.027,0.0
row,2019-04-19 22:43:18.289742,0.01999999999999602,58.85,58.860625,0.025,0.0
row,2019-04-19 22:43:18.296876,0.01999999999999602,58.85,58.85930232558139,0.03,0.0
row,2019-04-19 22:43:18.304989,0.01999999999999602,58.87,58.85933333333333,0.03,0.0
row,2019-04-19 22:43:18.313101,0.01999999999999602,58.87,58.85978723404255,0.028,0.0
row,2019-04-19 22:43:18.320939,0.01999999999999602,58.8635,58.858666666666664,0.035,0.0
row,2019-04-19 22:43:18.328532,0.01999999999999602,58.8635,58.858666666666664,0.035,0.0
