,AAPL
788,149.19000000000003
789,149.16
790,149.19000000000003
791,149.16
792,149.19000000000003
793,149.08
794,148.98
795,149.04
796,148.95999999999998
797,148.98
798,148.91
799,148.98
800,148.98
801,149.02
802,148.979
803,149.0
804,149.005
805,148.93
806,148.93
807,148.91
808,148.97
809,148.95999999999998
810,148.97
811,148.95999999999998
812,148.955
813,148.93
814,148.93
815,148.97
816,148.97
817,149.02
818,149.03
819,149.048
820,149.048
821,149.07
822,149.04
823,149.07
824,149.065
825,149.073
826,149.01
827,149.016
828,148.99
829,149.014
830,148.99
831,149.014
832,149.01
833,149.01
834,148.97
835,148.99
836,148.971
837,149.0
838,149.02
839,149.014
840,149.014
841,149.0
842,148.997
843,149.0
844,148.995
845,148.912
846,148.919
847,148.93
848,148.95
849,148.97
850,148.95
851,148.97
852,148.98
853,148.945
854,148.955
855,148.944
856,148.94900000000004
857,148.94900000000004
858,148.93
859,148.95
860,148.95
861,148.97
862,148.955
863,148.926
864,148.91
865,148.9
866,148.883
867,148.918
868,148.842
869,148.72
870,148.842
871,148.72
872,148.734
873,148.68
874,148.59
875,148.6
876,148.585
877,148.529
878,148.51
879,148.6
880,148.6
881,148.66
882,148.61
883,148.68
884,148.65599999999998
885,148.59
886,148.57
887,148.601
888,148.605
889,148.591
890,148.605
891,148.591
892,148.61
893,148.55
894,148.54
895,148.55
896,148.52
897,148.55
898,148.57
899,148.584
900,148.584
901,148.545
902,148.58
903,148.503
904,148.535
905,148.52
906,148.63
907,148.62
908,148.583
909,148.6
910,148.583
911,148.6
912,148.609
913,148.68
914,148.62
915,148.66
916,148.59
917,148.628
918,148.56
919,148.575
920,148.575
921,148.589
922,148.57
923,148.57
924,148.586
925,148.573
926,148.56
927,148.58
928,148.59
929,148.575
930,148.59
931,148.575
932,148.54
933,148.54
934,148.555
935,148.564
936,148.555
937,148.55
938,148.55
939,148.57
940,148.57
941,148.53
942,148.55
943,148.531
944,148.45999999999998
945,148.48
946,148.52
947,148.51
948,148.54
949,148.567
950,148.54
951,148.567
952,148.592
953,148.62
954,148.645
955,148.602
956,148.56
957,148.55
958,148.545
959,148.56
960,148.545
961,148.56
962,148.52
963,148.538
964,148.6
965,148.633
966,148.62
967,148.62
968,148.59
969,148.6
970,148.6
971,148.59
972,148.625
973,148.67
974,148.72
975,148.766
976,148.81
977,148.829
978,148.79
979,148.83
980,148.79
981,148.83
982,148.82
983,148.763
984,148.76099999999997
985,148.75
986,148.76
987,148.788
988,148.79
989,148.8
990,148.8
991,148.84
992,148.86
993,148.867
994,148.806
995,148.816
996,148.816
997,148.82
998,148.817
999,148.822
1000,148.817
1001,148.822
1002,148.8
1003,148.8
1004,148.79
1005,148.81
1006,148.79
1007,148.82
1008,148.8
1009,148.8
1010,148.8
1011,148.85
1012,148.837
1013,148.77
1014,148.78
1015,148.75
1016,148.8
1017,148.76
1018,148.77
1019,148.77
1020,148.77
1021,148.77
1022,148.79
1023,148.8
1024,148.83
1025,148.837
1026,148.93
1027,148.87
1028,148.919
1029,148.94000000000003
1030,148.94000000000003
1031,148.93
1032,148.87
1033,148.88
1034,148.86
1035,148.9
1036,148.884
1037,148.91
1038,148.92
1039,148.943
1040,148.92
1041,148.943
1042,148.91
1043,148.94000000000003
1044,148.9
1045,148.91
1046,148.9
1047,148.87
1048,148.86
1049,148.791
1050,148.791
1051,148.795
1052,148.76
1053,148.777
1054,148.753
1055,148.82
1056,148.815
1057,148.78
1058,148.846
1059,148.85
1060,148.846
1061,148.85
1062,148.84
1063,148.839
1064,148.806
1065,148.79
1066,148.82
1067,148.82
1068,148.79
1069,148.78
1070,148.78
1071,148.78
1072,148.79
1073,148.76
1074,148.765
1075,148.78
1076,148.7
1077,148.69000000000003
1078,148.70999999999998
1079,148.704
1080,148.70999999999998
1081,148.704
1082,148.68900000000002
1083,148.68
1084,148.64000000000001
1085,148.555
1086,148.544
1087,148.58
1088,148.623
1089,148.51
1090,148.51
1091,148.61
1092,148.63
1093,148.70999999999998
1094,148.72
1095,148.74
1096,148.75
1097,148.75
1098,148.74
1099,148.70999999999998
1100,148.74
1101,148.70999999999998
1102,148.68
1103,148.64000000000001
1104,148.58
1105,148.59
1106,148.605
1107,148.62
1108,148.56
1109,148.599
1110,148.599
1111,148.59
1112,148.6
1113,148.57
1114,148.54
1115,148.58
1116,148.546
1117,148.54
1118,148.56
1119,148.56
1120,148.56
1121,148.56
1122,148.554
1123,148.556
1124,148.52
1125,148.525
1126,148.525
1127,148.53
1128,148.52
1129,148.52
1130,148.52
1131,148.58
1132,148.63
1133,148.61
1134,148.604
1135,148.61
1136,148.61
1137,148.61
1138,148.63
1139,148.7
1140,148.63
1141,148.7
1142,148.72
1143,148.72
1144,148.743
1145,148.70999999999998
1146,148.729
1147,148.7
1148,148.70999999999998
1149,148.73
1150,148.73
1151,148.70999999999998
1152,148.671
1153,148.64000000000001
1154,148.64000000000001
1155,148.67
1156,148.67
1157,148.66
1158,148.66
1159,148.64000000000001
1160,148.66
1161,148.64000000000001
1162,148.65
1163,148.636
1164,148.63
1165,148.63
1166,148.56
1167,148.61
1168,148.61
1169,148.56
1170,148.56
1171,148.6
1172,148.6
1173,148.65
1174,148.61400000000003
1175,148.62
1176,148.551
1177,148.565
1178,148.55
1179,148.55
1180,148.55
1181,148.55
1182,148.55
1183,148.59
1184,148.551
1185,148.5
1186,148.49
1187,148.494
1188,148.47
1189,148.47
1190,148.47
1191,148.45
1192,148.451
1193,148.4
1194,148.34
1195,148.343
1196,148.35
1197,148.34
1198,148.36
1199,148.4
1200,148.36
1201,148.4
1202,148.419
1203,148.41
1204,148.4
1205,148.451
1206,148.445
1207,148.43
1208,148.4
1209,148.45
1210,148.45
1211,148.45999999999998
1212,148.48
1213,148.489
1214,148.49
1215,148.476
1216,148.48
1217,148.484
1218,148.447
1219,148.45
1220,148.447
1221,148.45
1222,148.47
1223,148.45
1224,148.46099999999998
1225,148.455
1226,148.43
1227,148.44000000000003
1228,148.45999999999998
1229,148.5
1230,148.5
1231,148.52
1232,148.51
1233,148.515
1234,148.507
1235,148.56
1236,148.55
1237,148.59
1238,148.633
1239,148.59
1240,148.633
1241,148.59
1242,148.6
1243,148.586
1244,148.6
1245,148.63
1246,148.63
1247,148.65
1248,148.726
1249,148.725
1250,148.725
1251,148.74
1252,148.72
1253,148.695
1254,148.712
1255,148.734
1256,148.82
1257,148.8
1258,148.82
1259,148.83
1260,148.82
1261,148.83
1262,148.75899999999996
1263,148.745
1264,148.767
1265,148.756
1266,148.74
1267,148.736
1268,148.736
1269,148.74
1270,148.74
1271,148.70999999999998
1272,148.73
1273,148.73
1274,148.729
1275,148.729
1276,148.729
1277,148.68
1278,148.6
1279,148.63
1280,148.6
1281,148.63
1282,148.65
1283,148.66500000000002
1284,148.66
1285,148.70999999999998
1286,148.70999999999998
1287,148.72
1288,148.70999999999998
1289,148.672
1290,148.672
1291,148.69000000000003
1292,148.674
1293,148.66400000000002
1294,148.64000000000001
1295,148.668
1296,148.63
1297,148.6
1298,148.61
1299,148.66
1300,148.61
1301,148.66
1302,148.653
1303,148.67
1304,148.68
1305,148.68
1306,148.649
1307,148.645
1308,148.67
1309,148.63
1310,148.63
1311,148.62
1312,148.65
1313,148.704
1314,148.70799999999997
1315,148.65
1316,148.65
1317,148.63
1318,148.6
1319,148.587
1320,148.6
1321,148.587
1322,148.612
1323,148.66
1324,148.66
1325,148.66
1326,148.643
1327,148.58
1328,148.585
1329,148.53
1330,148.53
1331,148.52
1332,148.52
1333,148.51
1334,148.47
1335,148.56
1336,148.545
1337,148.5
1338,148.45999999999998
1339,148.447
1340,148.45999999999998
1341,148.447
1342,148.45999999999998
1343,148.47
1344,148.505
1345,148.505
1346,148.49
1347,148.45999999999998
1348,148.46099999999998
1349,148.445
1350,148.46099999999998
1351,148.445
1352,148.43
1353,148.418
1354,148.41500000000002
1355,148.45
1356,148.45
1357,148.457
1358,148.444
1359,148.43
1360,148.43
1361,148.48
1362,148.48
1363,148.5
1364,148.58
1365,148.572
1366,148.54
1367,148.582
1368,148.59
1369,148.65
1370,148.59
1371,148.65
1372,148.65499999999997
1373,148.645
1374,148.682
1375,148.70999999999998
1376,148.70999999999998
1377,148.635
1378,148.61
