,AAPL
948,151.01
949,151.01
950,151.07
951,151.155
952,151.171
953,151.3
954,151.311
955,151.34
956,151.393
957,151.382
958,151.44
959,151.477
960,151.515
961,151.5
962,151.679
963,151.66
964,151.72
965,151.753
966,151.8
967,151.79
968,151.85
969,151.775
970,151.71
971,151.62
972,151.65
973,151.585
974,151.44
975,151.42
976,151.36
977,151.463
978,151.37
979,151.35
980,151.35
981,151.2
982,151.23
983,151.305
984,151.354
985,151.338
986,151.318
987,151.39
988,151.3
989,151.305
990,151.32
991,151.27
992,151.28
993,151.35
994,151.34
995,151.22
996,151.249
997,151.3
998,151.29
999,151.38
1000,151.46
1001,151.454
1002,151.55
1003,151.51
1004,151.55
1005,151.609
1006,151.493
1007,151.42
1008,151.47
1009,151.34
1010,151.36
1011,151.36
1012,151.24
1013,151.18
1014,151.119
1015,151.09
1016,151.19
1017,151.122
1018,151.05
1019,151.043
1020,151.146
1021,151.22
1022,151.135
1023,151.225
1024,151.153
1025,151.14
1026,151.185
1027,151.2
1028,151.27
1029,151.22
1030,151.29
1031,151.449
1032,151.475
1033,151.408
1034,151.33
1035,151.37
1036,151.27
1037,151.26
1038,151.36
1039,151.316
1040,151.305
1041,151.265
1042,151.4
1043,151.38
1044,151.379
1045,151.372
1046,151.45
1047,151.535
1048,151.505
1049,151.46
1050,151.48
1051,151.42
1052,151.46
1053,151.39
1054,151.36
1055,151.45
1056,151.26
1057,151.246
1058,151.171
1059,151.211
1060,151.16
1061,151.139
1062,151.155
1063,151.19
1064,151.275
1065,151.33
1066,151.39
1067,151.33
1068,151.25
1069,151.22
1070,151.15
1071,151.03
1072,150.88
1073,150.88
1074,150.97
1075,150.86
1076,150.862
1077,150.924
1078,150.98
1079,151.015
1080,151.02
1081,151.01
1082,150.98
1083,150.96
1084,150.98
1085,150.944
1086,150.97
1087,150.931
1088,151.06
1089,150.99
1090,151.075
1091,151.07
1092,151.065
1093,151.03
1094,150.995
1095,151.04
1096,150.971
1097,151
1098,151.02
1099,150.86
