,PFE
765,36.43
766,36.4336
767,36.44
768,36.44
769,36.455
770,36.4538
771,36.455
772,36.455
773,36.455
774,36.455
775,36.455
776,36.455
777,36.46
778,36.455
779,36.45
780,36.45
781,36.44
782,36.4486
783,36.445
784,36.45
785,36.445
786,36.435
787,36.4311
788,36.445
789,36.44
790,36.445
791,36.45
792,36.445
793,36.4451
794,36.44
795,36.445
796,36.445
797,36.4469
798,36.45
799,36.445
800,36.445
801,36.44
802,36.445
803,36.445
804,36.445
805,36.445
806,36.445
807,36.44
808,36.45
809,36.445
810,36.4442
811,36.4472
812,36.445
813,36.44
814,36.45
815,36.44
816,36.445
817,36.4434
818,36.445
819,36.445
820,36.44
821,36.445
822,36.4401
823,36.4401
824,36.445
825,36.4401
826,36.4488
827,36.44
828,36.445
829,36.44
830,36.44
831,36.44
832,36.43
833,36.4401
834,36.449
835,36.44
836,36.44
837,36.44
838,36.445
839,36.445
840,36.44
841,36.445
842,36.4462
843,36.45
844,36.4499
845,36.44
846,36.445
847,36.445
848,36.442
849,36.43
850,36.43
851,36.43
852,36.435
853,36.435
854,36.43
855,36.435
856,36.43
857,36.435
858,36.435
859,36.44
860,36.44
861,36.44
862,36.43
863,36.44
864,36.43
865,36.435
866,36.44
867,36.44
868,36.44
869,36.445
870,36.44
871,36.445
872,36.445
873,36.44
874,36.445
875,36.445
876,36.445
877,36.435
878,36.445
879,36.45
880,36.455
881,36.4542
882,36.4542
883,36.46
884,36.46
885,36.455
886,36.455
887,36.45
888,36.455
889,36.4516
890,36.45
891,36.45
892,36.455
893,36.46
894,36.45
895,36.44
896,36.45
897,36.44
898,36.44
899,36.445
900,36.45
901,36.45
902,36.445
903,36.44
904,36.44
905,36.445
906,36.43
907,36.42
908,36.425
909,36.425
910,36.4201
911,36.425
912,36.43
913,36.4206
914,36.4266
915,36.425
916,36.43
917,36.425
918,36.43
919,36.43
920,36.44
921,36.425
922,36.42
923,36.42
924,36.42
925,36.42
926,36.425
927,36.42
928,36.425
929,36.425
930,36.43
931,36.425
932,36.425
933,36.43
934,36.43
935,36.425
936,36.44
937,36.4344
938,36.43
939,36.4299
940,36.425
941,36.427
942,36.43
943,36.425
944,36.429
945,36.43
946,36.425
947,36.43
948,36.435
949,36.435
950,36.43
951,36.43
952,36.435
953,36.4387
954,36.4315
955,36.44
956,36.43
957,36.4343
958,36.435
959,36.4336
960,36.435
961,36.4331
962,36.43
963,36.4354
964,36.435
965,36.435
966,36.44
967,36.4412
968,36.4442
969,36.4408
970,36.45
971,36.45
972,36.45
973,36.44
974,36.45
975,36.45
976,36.44
977,36.44
978,36.45
979,36.4469
980,36.445
981,36.45
982,36.45
983,36.455
984,36.46
985,36.444
986,36.4469
987,36.45
988,36.446
989,36.4472
990,36.445
991,36.445
992,36.445
993,36.44
994,36.445
995,36.4489
996,36.45
997,36.445
998,36.445
999,36.445
1000,36.445
1001,36.45
1002,36.45
1003,36.46
1004,36.46
1005,36.46
1006,36.45
1007,36.455
1008,36.455
1009,36.45
1010,36.4553
1011,36.455
1012,36.4552
1013,36.46
1014,36.4501
1015,36.44
1016,36.44
1017,36.44
1018,36.45
1019,36.445
1020,36.4469
1021,36.44
1022,36.445
1023,36.45
1024,36.445
1025,36.45
1026,36.46
1027,36.46
1028,36.46
1029,36.46
1030,36.47
1031,36.46
1032,36.4693
1033,36.47
1034,36.465
1035,36.47
1036,36.465
1037,36.47
1038,36.47
1039,36.4699
1040,36.4559
1041,36.4601
1042,36.46
1043,36.465
1044,36.4648
1045,36.46
1046,36.4694
1047,36.475
1048,36.47
1049,36.48
1050,36.477
1051,36.4762
1052,36.475
1053,36.46
1054,36.46
1055,36.46
1056,36.4636
1057,36.46
1058,36.465
1059,36.46
1060,36.4686
1061,36.46
1062,36.46
1063,36.4799
1064,36.47
1065,36.47
1066,36.48
1067,36.4763
1068,36.47
1069,36.48
1070,36.485
1071,36.48
1072,36.48
1073,36.4702
1074,36.4791
1075,36.46
1076,36.46
1077,36.46
1078,36.47
1079,36.47
1080,36.465
1081,36.46
1082,36.47
1083,36.465
1084,36.4663
1085,36.4663
1086,36.467
1087,36.47
1088,36.47
1089,36.475
1090,36.47
1091,36.4769
1092,36.47
1093,36.475
1094,36.475
1095,36.47
1096,36.46
1097,36.46
1098,36.465
1099,36.46
1100,36.465
1101,36.4688
1102,36.46
1103,36.46
1104,36.46
1105,36.46
1106,36.465
1107,36.47
1108,36.465
1109,36.46
1110,36.46
1111,36.46
1112,36.4573
1113,36.45
1114,36.45
1115,36.45
1116,36.455
1117,36.45
1118,36.45
1119,36.455
1120,36.45
1121,36.44
1122,36.44
1123,36.44
1124,36.445
1125,36.44
1126,36.46
1127,36.46
1128,36.455
1129,36.455
1130,36.46
1131,36.4584
1132,36.45
1133,36.46
1134,36.46
1135,36.47
1136,36.47
1137,36.47
1138,36.475
1139,36.48
1140,36.475
1141,36.475
1142,36.475
1143,36.475
1144,36.47
1145,36.47
1146,36.47
1147,36.475
1148,36.47
1149,36.47
1150,36.47
1151,36.475
1152,36.475
1153,36.475
1154,36.475
1155,36.4794
1156,36.4764
1157,36.47
1158,36.47
1159,36.465
1160,36.47
1161,36.465
1162,36.4601
1163,36.46
1164,36.46
1165,36.465
1166,36.46
1167,36.465
1168,36.46
1169,36.465
1170,36.46
1171,36.465
1172,36.47
1173,36.465
1174,36.47
1175,36.46
1176,36.48
1177,36.48
1178,36.485
1179,36.485
1180,36.485
1181,36.4867
1182,36.485
1183,36.485
1184,36.485
1185,36.485
1186,36.485
1187,36.49
1188,36.485
1189,36.49
1190,36.48
1191,36.49
1192,36.48
1193,36.485
1194,36.485
1195,36.4872
1196,36.48
1197,36.48
1198,36.48
1199,36.48
1200,36.48
1201,36.47
1202,36.48
1203,36.47
1204,36.4757
1205,36.47
1206,36.475
1207,36.475
1208,36.475
1209,36.475
1210,36.4715
1211,36.48
1212,36.4869
1213,36.495
1214,36.495
1215,36.4938
1216,36.495
1217,36.495
1218,36.495
1219,36.5
1220,36.495
1221,36.4879
1222,36.495
1223,36.5
1224,36.495
1225,36.4959
1226,36.495
1227,36.49
1228,36.4999
1229,36.5
1230,36.5
1231,36.5
1232,36.5
1233,36.5015
1234,36.49
1235,36.4968
1236,36.49
1237,36.49
1238,36.495
1239,36.4999
1240,36.49
1241,36.49
1242,36.48
1243,36.4855
1244,36.485
1245,36.49
1246,36.495
1247,36.49
1248,36.4969
1249,36.49
1250,36.49
1251,36.4979
1252,36.5
1253,36.495
1254,36.49
1255,36.4963
1256,36.49
1257,36.495
1258,36.5
1259,36.495
1260,36.495
1261,36.49
1262,36.49
1263,36.495
1264,36.5
1265,36.49
1266,36.495
1267,36.49
1268,36.49
1269,36.495
1270,36.5
1271,36.49
1272,36.495
1273,36.49
1274,36.49
1275,36.49
1276,36.4899
1277,36.475
1278,36.48
1279,36.4715
1280,36.475
1281,36.47
1282,36.47
1283,36.47
1284,36.47
1285,36.46
1286,36.4611
1287,36.46
1288,36.47
1289,36.47
1290,36.47
1291,36.46
1292,36.46
1293,36.455
1294,36.455
1295,36.45
1296,36.455
1297,36.455
1298,36.455
1299,36.45
1300,36.45
1301,36.45
1302,36.45
1303,36.45
1304,36.45
1305,36.45
1306,36.45
1307,36.455
1308,36.4585
1309,36.45
1310,36.45
1311,36.45
1312,36.45
1313,36.44
1314,36.4464
1315,36.44
1316,36.44
1317,36.44
1318,36.43
1319,36.435
1320,36.4358
1321,36.435
1322,36.44
1323,36.45
1324,36.445
1325,36.45
1326,36.45
1327,36.445
1328,36.45
1329,36.44
1330,36.445
1331,36.45
1332,36.45
1333,36.445
1334,36.445
1335,36.445
1336,36.445
1337,36.4438
1338,36.4496
1339,36.44
1340,36.44
1341,36.44
1342,36.44
1343,36.44
1344,36.44
1345,36.43
1346,36.43
1347,36.435
1348,36.435
1349,36.44
1350,36.43
1351,36.43
1352,36.43
1353,36.44
1354,36.4333
1355,36.42
1356,36.42
1357,36.42
1358,36.4299
1359,36.4201
1360,36.425
1361,36.4201
1362,36.425
1363,36.43
1364,36.43
1365,36.4356
1366,36.44
1367,36.447
1368,36.45
1369,36.4339
1370,36.4339
1371,36.4447
1372,36.45
1373,36.445
1374,36.445
1375,36.4566
1376,36.455
1377,36.455
1378,36.4501
1379,36.455
1380,36.455
1381,36.46
1382,36.45
1383,36.44
1384,36.449
1385,36.45
1386,36.445
1387,36.45
1388,36.45
1389,36.45
1390,36.443
1391,36.4442
1392,36.445
1393,36.4445
1394,36.45
1395,36.445
1396,36.4462
1397,36.4467
1398,36.4453
1399,36.445
1400,36.445
1401,36.445
1402,36.45
1403,36.45
1404,36.45
1405,36.4489
1406,36.45
1407,36.45
1408,36.44
1409,36.4494
1410,36.2
1411,36.4434
1412,36.45
1413,36.45
1414,36.45
1415,36.45
1416,36.45
1417,36.46
1418,36.4508
1419,36.46
1420,36.4599
1421,36.46
1422,36.45
1423,36.4531
1424,36.45
1425,36.4526
1426,36.4564
1427,36.455
1428,36.4504
1429,36.47
1430,36.47
1431,36.47
1432,36.4662
1433,36.47
1434,36.47
1435,36.47
1436,36.47
1437,36.47
1438,36.4738
1439,36.48
1440,36.47
1441,36.475
1442,36.475
1443,36.47
1444,36.47
1445,36.47
1446,36.475
1447,36.475
1448,36.475
1449,36.47
1450,36.47
1451,36.48
1452,36.475
1453,36.47
1454,36.475
1455,36.475
1456,36.46
1457,36.4434
1458,36.4542
1459,36.45
1460,36.445
1461,36.445
1462,36.445
1463,36.445
1464,36.43
1465,36.445
1466,36.4479
1467,36.445
1468,36.445
1469,36.44
1470,36.455
1471,36.455
1472,36.4599
1473,36.455
1474,36.45
1475,36.45
1476,36.46
1477,36.455
1478,36.455
1479,36.455
1480,36.45
1481,36.45
1482,36.455
1483,36.455
1484,36.455
1485,36.45
1486,36.455
1487,36.455
1488,36.46
1489,36.4503
1490,36.455
1491,36.45
1492,36.445
1493,36.4462
1494,36.44
1495,36.45
1496,36.445
1497,36.4466
1498,36.4458
1499,36.4448
1500,36.46
1501,36.45
1502,36.4541
1503,36.455
1504,36.455
1505,36.4505
1506,36.455
1507,36.46
1508,36.46
1509,36.46
1510,36.46
1511,36.455
1512,36.46
1513,36.45
1514,36.455
1515,36.455
1516,36.455
1517,36.455
1518,36.455
1519,36.46
1520,36.455
1521,36.455
1522,36.455
1523,36.455
1524,36.45
1525,36.455
1526,36.46
1527,36.455
1528,36.455
1529,36.455
1530,36.45
1531,36.455
1532,36.455
1533,36.455
1534,36.46
1535,36.455
1536,36.45
1537,36.46
1538,36.455
1539,36.46
1540,36.455
1541,36.46
1542,36.45
1543,36.455
1544,36.45
1545,36.455
1546,36.455
1547,36.46
1548,36.445
1549,36.445
1550,36.445
1551,36.445
1552,36.44
1553,36.4469
1554,36.445
1555,36.43
1556,36.4336
1557,36.425
1558,36.44
1559,36.44
1560,36.4319
1561,36.435
1562,36.43
1563,36.44
1564,36.44
1565,36.44
1566,36.4353
1567,36.44
1568,36.435
1569,36.44
1570,36.435
1571,36.425
1572,36.43
1573,36.43
1574,36.43
1575,36.44
1576,36.435
1577,36.43
1578,36.435
1579,36.44
1580,36.43
1581,36.44
1582,36.4369
1583,36.44
1584,36.44
1585,36.4392
1586,36.44
1587,36.4353
1588,36.435
1589,36.44
1590,36.44
1591,36.44
1592,36.435
