,TRV
1334,113.67
1335,113.67
1336,113.67
1337,113.695
1338,113.73
1339,113.78
1340,113.771
1341,113.7
1342,113.69
1343,113.69
1344,113.7
1345,113.66
1346,113.58
1347,113.68
1348,113.6
1349,113.6
1350,113.67
1351,113.67
1352,113.67
1353,113.75
1354,113.75
1355,113.64
1356,113.64
1357,113.7
1358,113.64
1359,113.7
1360,113.69
1361,113.7
1362,113.66
1363,113.63
1364,113.61
1365,113.65
1366,113.71
1367,113.717
1368,113.67
1369,113.74
1370,113.75
1371,113.71
1372,113.7
1373,113.7
1374,113.7
1375,113.61
1376,113.61
1377,113.69
1378,113.654
1379,113.69
1380,113.7
1381,113.7
1382,113.67
1383,113.7
1384,113.73
1385,113.66
1386,113.7
1387,113.7
1388,113.7
1389,113.71
1390,113.7
1391,113.7
1392,113.71
1393,113.66
1394,113.655
1395,113.7
1396,113.78
1397,113.8
1398,113.81
1399,113.84
1400,113.84
1401,113.82
1402,113.85
1403,113.72
1404,113.72
1405,113.82
1406,113.76
1407,113.76
1408,113.81
1409,113.81
1410,113.84
1411,113.86
1412,113.92
1413,113.92
1414,113.86
1415,113.825
1416,113.825
1417,113.93
1418,113.84
1419,113.93
1420,113.925
1421,113.965
1422,113.97
1423,113.97
1424,113.97
1425,113.94
1426,113.89
1427,113.95
1428,113.94
1429,113.925
1430,113.94
1431,113.96
1432,113.94
1433,113.97
1434,114.01
1435,113.97
1436,113.96
1437,113.96
1438,113.89
1439,113.925
1440,113.89
1441,113.89
1442,113.89
1443,113.92
1444,113.95
1445,113.92
1446,113.92
1447,113.87
1448,113.86
1449,113.89
1450,113.93
1451,113.93
1452,113.91
1453,113.86
1454,113.85
1455,113.985
1456,113.98
1457,114.03
1458,113.96
1459,114.03
1460,114.06
1461,114.11
1462,114.05
1463,114.04
1464,114.04
1465,114.07
1466,114.07
1467,113.963
1468,114.054
1469,114.054
1470,114.11
1471,114.231
1472,114.2
1473,114.24
1474,114.135
1475,114.135
1476,114.05
1477,114.08
1478,114.1
1479,114.05
1480,114.01
1481,114.12
1482,114.07
1483,114.11
1484,114.13
1485,114.155
1486,114.16
1487,114.1
1488,114.15
1489,114.06
1490,114.06
1491,114.15
1492,114.22
1493,114.11
1494,114.11
1495,114.15
1496,114.18
1497,114.17
1498,114.25
1499,114.22
1500,114.25
1501,114.25
1502,114.24
1503,114.32
1504,114.34
1505,114.31
1506,114.31
1507,114.32
1508,114.3
1509,114.3
1510,114.315
1511,114.38
1512,114.38
1513,114.227
1514,114.227
1515,114.227
1516,114.3
1517,114.27
1518,114.27
1519,114.36
1520,114.43
1521,114.48
1522,114.43
1523,114.399
1524,114.39
1525,114.39
1526,114.42
1527,114.36
1528,114.242
1529,114.37
1530,114.42
1531,114.42
1532,114.41
1533,114.46
1534,114.46
1535,114.56
1536,114.58
1537,114.548
1538,114.56
1539,114.53
1540,114.6
1541,114.73
1542,114.69
1543,114.68
1544,114.73
1545,114.78
1546,114.78
1547,114.76
1548,114.81
1549,114.73
1550,114.765
1551,114.77
1552,114.81
1553,114.81
1554,114.77
1555,114.81
1556,114.81
1557,114.89
1558,114.83
1559,114.78
1560,114.78
1561,114.81
1562,114.81
1563,114.86
1564,114.865
1565,114.854
1566,114.91
1567,114.91
1568,114.91
1569,114.91
1570,114.93
1571,114.87
1572,114.87
1573,114.915
1574,114.9
1575,114.91
1576,114.905
1577,114.92
1578,114.9
1579,114.92
1580,114.92
1581,114.98
1582,114.955
1583,114.99
1584,114.97
1585,114.99
1586,114.922
1587,114.94
1588,114.94
1589,114.87
1590,114.92
1591,114.92
1592,114.82
1593,114.82
1594,114.9
1595,114.86
1596,114.81
1597,114.91
1598,114.85
1599,114.81
1600,114.78
1601,114.8
1602,114.78
1603,114.78
1604,114.77
1605,114.77
1606,114.7
1607,114.7
1608,114.66
1609,114.63
1610,114.7
1611,114.6
1612,114.6
1613,114.65
1614,114.66
1615,114.56
1616,114.63
1617,114.66
1618,114.66
1619,114.58
1620,114.66
1621,114.68
1622,114.67
1623,114.63
1624,114.63
1625,114.64
1626,114.59
1627,114.59
1628,114.55
1629,114.62
1630,114.64
1631,114.61
1632,114.63
1633,114.6
1634,114.66
1635,114.64
1636,114.67
1637,114.61
1638,114.659
1639,114.656
1640,114.7
1641,114.68
1642,114.72
1643,114.68
1644,114.66
1645,114.66
1646,114.72
1647,114.67
1648,114.683
1649,114.683
1650,114.683
1651,114.75
1652,114.75
1653,114.76
1654,114.793
1655,114.76
1656,114.8
1657,114.78
1658,114.87
1659,114.793
1660,114.77
1661,114.87
1662,114.87
1663,114.844
1664,114.875
1665,114.92
1666,114.82
1667,114.82
1668,114.82
1669,114.8
1670,114.82
1671,114.63
1672,114.67
1673,114.68
1674,114.74
1675,114.68
1676,114.68
1677,114.777
1678,114.79
1679,114.81
1680,114.78
1681,114.746
1682,114.746
1683,114.746
1684,114.79
1685,114.79
1686,114.63
1687,114.57
1688,114.44
1689,114.47
1690,114.51
1691,114.59
1692,114.62
1693,114.62
1694,114.66
1695,114.64
1696,114.7
1697,114.51
1698,114.44
1699,114.55
1700,114.5
1701,114.53
